Gáznap -tól,Gáznap -ig,POD,Gyáriszám,Üzemi fogyasztás,Korrigált fogyasztás,Üzemi mérőállás,Korrigált mérőállás,Adatpótlás
2026.08.17 06:00,2026.08.17 07:00,39N0500091210005,000038200077158060,0.0000,0.0000,181834,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050022609000H,000053300003307178,0.2000,0.2024,67757,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050029731000D,000052600000914866,0.0000,0.0000,59119,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050031988000Q,000052600000899454,0.0000,0.0000,13,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050032468000S,000052700000899362,0.0000,0.0000,30,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050033836000K,000027100005848245,0.0000,0.0000,31108,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050034412000Z,000002600043780756,0.0000,0.0000,4322,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050034412000Z,000052700000885403,9.3000,9.1028,130514,,nem
2026.08.17 06:00,2026.08.17 07:00,39N0500344350008,000046700000888615,0.0000,0.0000,36773,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050034459000D,000040400014219775,0.0000,0.0000,3100,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050042294000Z,000040400008209973,0.0000,0.0000,11597,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050044030000F,000027000035197562,0.0000,0.0000,41368,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050052498000T,SC05000004104,0.0000,0.0000,67075,229480,nem
2026.08.17 06:00,2026.08.17 07:00,39N050053842000G,K3SC03401169905,0.0000,0.0000,1,5,nem
2026.08.17 06:00,2026.08.17 07:00,39N0500617550009,000044500034101914,0.0000,0.0000,20548,,nem
2026.08.17 06:00,2026.08.17 07:00,39N0500617550009,K3SC03400699700,0.0000,0.0000,7441,43914,nem
2026.08.17 06:00,2026.08.17 07:00,39N050066949000F,000053400003290721,0.0000,0.0000,9102,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050068660000G,000035500084243026,0.0000,0.0000,8764,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050068660000G,000035500084243027,0.2000,0.2014,7260,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050071512000G,000051303403398537,0.0000,0.0000,14317,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050073737000N,000040400006201455,0.0000,0.0000,16981,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050073762000U,000053400004078277,0.0000,0.0000,62681,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050075194000S,000029200020524049,17.2000,17.5182,463378,,nem
2026.08.17 06:00,2026.08.17 07:00,39N0500755940000,000027000005950284,0.0000,0.0000,3105,,nem
2026.08.17 06:00,2026.08.17 07:00,39N0500755940000,000052600000886571,0.0000,0.0000,17939,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050076850000F,000006201754704050,11.1000,10.9246,11967,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050076850000F,000040300006201137,0.1000,0.0980,34757,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050081322000F,000053400003290798,0.0000,0.0000,247340,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050083908000D,000006202897801002,0.0000,0.0000,164354,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050083908000D,000040300011213334,0.0000,0.0000,12010,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050089206000O,000006203403563919,0.9000,0.9061,78071,,nem
2026.08.17 06:00,2026.08.17 07:00,39N050089206000O,000028700084091487,0.9000,0.8693,9794,,nem
