Gáznap -tól,Gáznap -ig,POD,Gyáriszám,Üzemi fogyasztás,Korrigált fogyasztás,Üzemi mérőállás,Korrigált mérőállás,Adatpótlás
2026.08.17 06:00,2026.08.17 07:00,39N060000175000F,000011200000338683,0.0000,0.0000,46251,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060001073000O,000000000006139414,0.3000,0.2881,79315,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060001129000H,000017000001023298,21.8000,20.9324,27327,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060005807000W,000011200000127418,0.0000,0.0000,113612,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060005816000V,000017000009949791,0.0000,0.0000,76933,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060005888000G,000011200000338692,0.0000,0.0000,25937,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060005917000J,000006203403494571,2.6000,2.5243,76852,,nem
2026.08.17 06:00,2026.08.17 07:00,39N0600059220001,000028300000546980,0.4000,0.3799,160687,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060005935000H,000000000000338639,1.8000,1.7476,513441,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060005969000G,000000000021600969,0.0000,0.0000,21584,,nem
2026.08.17 06:00,2026.08.17 07:00,39N0600059720008,000011200009929313,0.0000,0.0000,117323,,nem
2026.08.17 06:00,2026.08.17 07:00,39N0600061150003,SC07000002018,0.0000,0.0000,880067,893511,nem
2026.08.17 06:00,2026.08.17 07:00,39N060006119000K,K114000009/2025,0.0000,0.0000,57842,59333,nem
2026.08.17 06:00,2026.08.17 07:00,39N0600061830008,K10300002009/14,3.1240,3.0000,,388137,nem
2026.08.17 06:00,2026.08.17 07:00,39N060006194000Y,K11200002014/40,7.5480,11.0000,,535680,nem
2026.08.17 06:00,2026.08.17 07:00,39N060006457000M,K3SC03403923059,0.0000,0.0000,432752,425838,nem
2026.08.17 06:00,2026.08.17 07:00,39N0600064860009,K3SC03403701666,0.0000,0.0000,13171,13789,nem
2026.08.17 06:00,2026.08.17 07:00,39N060006533000A,000011200000050026,2.0000,1.9418,105559,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060008259000A,000011100000109546,0.0000,0.0000,3,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060008259000A,000033100035200420,0.0000,0.0000,1,,nem
2026.08.17 06:00,2026.08.17 07:00,39N0600182680000,000028300000522181,0.0000,0.0000,13235,,nem
2026.08.17 06:00,2026.08.17 07:00,39N0600416330007,000003800032476907,0.0000,0.0000,12862,,igen
2026.08.17 06:00,2026.08.17 07:00,39N060056860000F,000052600000920561,0.6000,0.5825,42665,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060735330000O,000000000029004173,0.3000,0.2849,95421,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060735731000S,000051303403421788,0.0000,0.0000,124770,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060735761000A,000052600000920734,0.0000,0.0000,31020,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060735799000Q,000052600000922844,0.0000,0.0000,61316,,nem
2026.08.17 06:00,2026.08.17 07:00,39N0607556590002,000051900015179178,4.4000,4.2720,159510,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060760989000V,000000003401922868,3.8800,14.6819,50092,,nem
2026.08.17 06:00,2026.08.17 07:00,39N060760989000V,000051400032414003,0.1200,0.1216,4882,,nem
