id_pod,gasday,nomvol_kwh,nomvol_sorsz,nommax_kwh,nommax_sorsz
10130101,2026-08-17,673,3,33,1
10390101,2026-08-17,352,3,120,1
10400104,2026-08-17,3521,3,234,1
10400202,2026-08-17,2,3,2,1
10410103,2026-08-17,0,3,0,1
10420103,2026-08-17,210,3,36,1
10430201,2026-08-17,0,3,0,1
10440101,2026-08-17,0,3,0,1
10450101,2026-08-17,0,3,0,1
10461502,2026-08-17,0,3,0,1
10470101,2026-08-17,0,3,0,1
10480101,2026-08-17,0,3,0,1
10490102,2026-08-17,0,3,0,1
10500102,2026-08-17,0,3,0,1
10510101,2026-08-17,0,3,0,1
10520101,2026-08-17,3,3,0,1
10530103,2026-08-17,0,3,0,1
10530201,2026-08-17,2200,3,159,1
10540202,2026-08-17,45,3,12,1
10590101,2026-08-17,0,3,0,1
10620101,2026-08-17,0,3,0,1
10700103,2026-08-17,0,3,0,1
10730202,2026-08-17,9,3,6,1
11100101,2026-08-17,2,3,3,1
11100201,2026-08-17,0,3,3,1
11330101,2026-08-17,0,3,0,1
11540101,2026-08-17,2753,3,86,1
11560101,2026-08-17,23,3,3,1
11580101,2026-08-17,94,3,35,1
11580201,2026-08-17,0,3,0,1
11590101,2026-08-17,43,3,14,1
11650101,2026-08-17,0,3,0,1
11650201,2026-08-17,0,3,0,1
11650301,2026-08-17,0,3,0,1
11660101,2026-08-17,0,3,0,1
11690101,2026-08-17,4,3,3,1
11790301,2026-08-17,0,3,0,1
11880101,2026-08-17,0,3,0,1
11920101,2026-08-17,0,3,120,1
12090101,2026-08-17,0,3,0,1
12660101,2026-08-17,2000,3,398,1
12660201,2026-08-17,40,3,399,1
12700101,2026-08-17,0,3,0,1
12790101,2026-08-17,65,3,15,1
12960101,2026-08-17,330,3,2,1
12990101,2026-08-17,79,3,13,1
13000101,2026-08-17,4,3,3,1
13010101,2026-08-17,0,3,0,1
13020101,2026-08-17,0,3,0,1
13030101,2026-08-17,0,3,0,1
13040101,2026-08-17,8,3,9,1
13050101,2026-08-17,0,3,0,1
13060101,2026-08-17,6,3,2,1
13070101,2026-08-17,0,3,0,1
13070102,2026-08-17,0,3,0,1
13080101,2026-08-17,0,3,0,1
13100101,2026-08-17,0,3,0,1
13100201,2026-08-17,0,3,0,1
13110101,2026-08-17,1063,3,120,1
13110301,2026-08-17,0,3,0,1
13120101,2026-08-17,0,3,0,1
13130101,2026-08-17,0,3,0,1
13140101,2026-08-17,0,3,0,1
13150101,2026-08-17,0,3,0,1
13160101,2026-08-17,0,3,0,1
13170101,2026-08-17,0,3,0,1
13180101,2026-08-17,2,3,2,1
13190101,2026-08-17,0,3,0,1
13210102,2026-08-17,0,3,0,1
13240101,2026-08-17,3,3,1,1
13250401,2026-08-17,0,3,1,1
13260301,2026-08-17,0,3,0,1
13270101,2026-08-17,0,3,0,1
13280101,2026-08-17,0,3,0,1
13290101,2026-08-17,0,3,0,1
13300101,2026-08-17,0,3,0,1
13310101,2026-08-17,0,3,0,1
13320101,2026-08-17,0,3,0,1
13330201,2026-08-17,0,3,0,1
13340101,2026-08-17,357,3,51,1
13340201,2026-08-17,34,3,13,1
13360101,2026-08-17,0,3,0,1
13370101,2026-08-17,0,3,0,1
13380101,2026-08-17,4,3,5,1
13380201,2026-08-17,0,3,0,1
13380202,2026-08-17,0,3,0,1
13400101,2026-08-17,0,3,0,1
13410101,2026-08-17,0,3,0,1
13420101,2026-08-17,1,3,2,1
13420102,2026-08-17,0,3,0,1
13430101,2026-08-17,21,3,2,1
13440201,2026-08-17,0,3,1,1
13450201,2026-08-17,3,3,1,1
13450401,2026-08-17,0,3,0,1
13460101,2026-08-17,0,3,221,1
13470101,2026-08-17,12,3,3,1
13480101,2026-08-17,0,3,0,1
13490101,2026-08-17,450,3,46,1
13500201,2026-08-17,0,3,0,1
13510101,2026-08-17,0,3,0,1
13520101,2026-08-17,0,3,0,1
13520201,2026-08-17,29,3,11,1
13540101,2026-08-17,0,3,0,1
13550101,2026-08-17,0,3,0,1
13560101,2026-08-17,0,3,0,1
13570201,2026-08-17,0,3,0,1
13570301,2026-08-17,5,3,6,1
13580101,2026-08-17,2,3,1,1
13590101,2026-08-17,0,3,0,1
13600101,2026-08-17,0,3,0,1
13610101,2026-08-17,0,3,0,1
13620101,2026-08-17,1800,3,226,1
13620401,2026-08-17,0,3,0,1
13670101,2026-08-17,28,3,11,1
13690101,2026-08-17,272,3,69,1
13830101,2026-08-17,0,3,0,1
13870801,2026-08-17,0,3,0,1
13870901,2026-08-17,0,3,0,1
13880501,2026-08-17,0,3,0,1
13900801,2026-08-17,50,3,21,1
13901401,2026-08-17,41,3,20,1
13901501,2026-08-17,0,3,0,1
13901601,2026-08-17,106,3,14,1
13901701,2026-08-17,9360,3,604,1
13920901,2026-08-17,991,3,105,1
13921001,2026-08-17,262,3,25,1
13970101,2026-08-17,0,3,0,1
14000101,2026-08-17,0,3,0,1
14040101,2026-08-17,917,3,85,1
14140101,2026-08-17,0,3,0,1
14210101,2026-08-17,0,3,0,1
14520101,2026-08-17,0,3,0,1
14550101,2026-08-17,65,3,11,1
14560101,2026-08-17,0,3,0,1
14570101,2026-08-17,0,3,0,1
14900101,2026-08-17,7,3,3,1
14900201,2026-08-17,32,3,11,1
14900301,2026-08-17,4,3,3,1
15210101,2026-08-17,0,3,0,1
15220101,2026-08-17,0,3,0,1
15230101,2026-08-17,0,3,0,1
15240101,2026-08-17,50,3,21,1
15430102,2026-08-17,0,3,3,1
15880101,2026-08-17,0,3,0,1
15930101,2026-08-17,56,3,41,1
15970101,2026-08-17,0,3,0,1
15970201,2026-08-17,8,3,5,1
16020101,2026-08-17,0,3,0,1
16020201,2026-08-17,0,3,0,1
16030101,2026-08-17,0,3,0,1
16050101,2026-08-17,2513,3,241,1
16070101,2026-08-17,89,3,13,1
16080101,2026-08-17,0,3,0,1
16090101,2026-08-17,0,3,0,1
16100101,2026-08-17,0,3,0,1
16120101,2026-08-17,213,3,40,1
16130101,2026-08-17,6000,3,41,1
16160101,2026-08-17,649,3,56,1
16170101,2026-08-17,1824,3,196,1
16190101,2026-08-17,132,3,12,1
16290101,2026-08-17,0,3,0,1
16420101,2026-08-17,633,3,70,1
16430101,2026-08-17,130,3,135,1
16440501,2026-08-17,534,3,60,1
16450101,2026-08-17,0,3,0,1
16480101,2026-08-17,0,3,0,1
16490101,2026-08-17,14,3,196,1
16520101,2026-08-17,1,3,2,1
16530101,2026-08-17,0,3,0,1
16530301,2026-08-17,12,3,5,1
16560101,2026-08-17,955,3,120,1
16640101,2026-08-17,376,3,92,1
16650101,2026-08-17,0,3,0,1
16680101,2026-08-17,19,3,21,1
16710101,2026-08-17,0,3,1,1
16760101,2026-08-17,0,3,13,1
16810101,2026-08-17,0,3,2,1
16810201,2026-08-17,189,3,72,1
16990101,2026-08-17,0,3,0,1
17000101,2026-08-17,535,3,39,1
17160101,2026-08-17,0,3,0,1
17380101,2026-08-17,0,3,0,1
17380201,2026-08-17,360,3,57,1
17520101,2026-08-17,81,3,16,1
17620201,2026-08-17,0,3,0,1
17660101,2026-08-17,0,3,0,1
17710101,2026-08-17,2137,3,236,1
17720101,2026-08-17,355,3,85,1
17750301,2026-08-17,259,3,70,1
18080101,2026-08-17,41,3,27,1
18200101,2026-08-17,196,3,29,1
18290101,2026-08-17,45000,3,3900,1
18350101,2026-08-17,0,3,0,1
18560501,2026-08-17,2,3,2,1
18560601,2026-08-17,29,3,12,1
18570201,2026-08-17,29,3,3,1
18570301,2026-08-17,0,3,0,1
18580101,2026-08-17,0,3,0,1
18590103,2026-08-17,138,3,14,1
18632301,2026-08-17,0,3,0,1
18640101,2026-08-17,657,3,87,1
18640201,2026-08-17,967,3,175,1
18680101,2026-08-17,1,3,2,1
18690101,2026-08-17,0,3,0,1
18730101,2026-08-17,0,3,0,1
18800101,2026-08-17,0,3,0,1
18840101,2026-08-17,23700,3,2503,1
18890101,2026-08-17,3225,3,230,1
18890201,2026-08-17,202,3,30,1
18900101,2026-08-17,3362,3,193,1
18920101,2026-08-17,4,3,2,1
19020101,2026-08-17,3,3,1,1
19030101,2026-08-17,342,3,112,1
19030201,2026-08-17,222,3,32,1
19050101,2026-08-17,164,3,35,1
19070101,2026-08-17,1300,3,150,1
19150101,2026-08-17,253,3,47,1
19170101,2026-08-17,0,3,0,1
19170201,2026-08-17,0,3,0,1
19170301,2026-08-17,0,3,0,1
19170401,2026-08-17,0,3,1,1
19170501,2026-08-17,0,3,0,1
19170601,2026-08-17,3,3,1,1
19170701,2026-08-17,0,3,0,1
19170801,2026-08-17,0,3,0,1
19180101,2026-08-17,0,3,0,1
19220101,2026-08-17,0,3,0,1
19240101,2026-08-17,0,3,0,1
19430101,2026-08-17,26500,3,4000,1
19430201,2026-08-17,10000,3,1286,1
19430301,2026-08-17,16000,3,2040,1
19520101,2026-08-17,0,3,0,1
19530101,2026-08-17,0,3,0,1
19530201,2026-08-17,0,3,0,1
19530301,2026-08-17,0,3,0,1
19530401,2026-08-17,0,3,0,1
19810101,2026-08-17,531,3,77,1
19810401,2026-08-17,11,3,3,1
19810501,2026-08-17,47,3,13,1
19810701,2026-08-17,227,3,16,1
19810901,2026-08-17,156,3,38,1
19811201,2026-08-17,655,3,61,1
19890101,2026-08-17,2100,3,235,1
19900101,2026-08-17,635,3,114,1
19930101,2026-08-17,1125,3,206,1
19940101,2026-08-17,1566,3,209,1
19950101,2026-08-17,1311,3,125,1
20000101,2026-08-17,13,3,118,1
20010101,2026-08-17,2575,3,233,1
20020101,2026-08-17,926,3,162,1
20030101,2026-08-17,85,3,42,1
20040101,2026-08-17,1683,3,135,1
20050101,2026-08-17,3043,3,255,1
20060101,2026-08-17,1151,3,112,1
20080101,2026-08-17,1149,3,184,1
20090201,2026-08-17,2403,3,275,1
20100101,2026-08-17,1549,3,224,1
20120201,2026-08-17,598,3,112,1
20140101,2026-08-17,1636,3,175,1
20150101,2026-08-17,1550,3,206,1
20180101,2026-08-17,53,3,8,1
20190101,2026-08-17,356,3,79,1
20200101,2026-08-17,0,3,0,1
20210101,2026-08-17,1540,3,199,1
20230101,2026-08-17,1209,3,187,1
20250101,2026-08-17,1273,3,146,1
20270101,2026-08-17,2000,3,201,1
20270201,2026-08-17,3562,3,319,1
20290101,2026-08-17,1169,3,106,1
20310101,2026-08-17,1437,3,169,1
20320101,2026-08-17,398,3,95,1
20330101,2026-08-17,1111,3,105,1
20340101,2026-08-17,833,3,178,1
20350101,2026-08-17,1575,3,246,1
20360101,2026-08-17,1521,3,336,1
20380101,2026-08-17,756,3,84,1
20400101,2026-08-17,729,3,119,1
20420101,2026-08-17,826,3,145,1
20430101,2026-08-17,1762,3,159,1
20440101,2026-08-17,4056,3,355,1
20470101,2026-08-17,3686,3,247,1
20710101,2026-08-17,72,3,15,1
21070501,2026-08-17,3870,3,497,1
21300201,2026-08-17,68,3,25,1
21310101,2026-08-17,0,3,0,1
21410201,2026-08-17,780,3,82,1
22020101,2026-08-17,191,3,19,1
22120201,2026-08-17,135,3,28,1
22130101,2026-08-17,0,3,0,1
22140201,2026-08-17,0,3,0,1
22160501,2026-08-17,180,3,60,1
22160601,2026-08-17,163,3,17,1
22160701,2026-08-17,0,3,0,1
22170105,2026-08-17,95,3,10,1
22200401,2026-08-17,57,3,32,1
22210301,2026-08-17,0,3,0,1
22290201,2026-08-17,0,3,0,1
22350301,2026-08-17,0,3,0,1
