id_pod,pod,total_kwh_fogyasztas
10130101,39N060005917000J,704.2656043200001
10390101,39N050225592000Z,868.3996
10400104,39N050075194000S,3706.1233
10400202,39N050836979000I,1.0582
10410103,39N050214638000E,0.0
10420103,39N050214652000W,224.37467032
10430201,39N050833827000F,0.0
10450101,39N050405255000Q,0.0
10461502,39N050217594000I,0.0
10470101,39N050832564000Z,0.0
10480101,39N050214647000D,0.0
10490102,39N050215930000P,0.0
10500102,39N050214674000A,0.0
10510101,39N0502159430004,0.0
10520101,39N050831052000K,1.319088
10530103,39N050216000000O,0.0
10530201,39N050208164000S,1970.5843048
10540202,39N050214655000H,95.58999999999999
10590101,39N050212788000U,0.0
10620101,39N050627784000Z,0.0
10700103,39N050216319000Q,0.0
10730202,39N050215990000Q,9.5405772
11100101,39N110980148000E,1.10344
11100201,39N111253702000E,0.0
11540101,39N060006194000Y,2843.25695748
11580101,39N0502477110003,183.04770000000002
11580201,39N050209187000U,0.0
11590101,39N1105994720001,48.474799999999995
11650101,39N0611670050007,0.0
11650201,39N060008259000A,0.0
11650301,39N061011000000O,0.0
11660101,39N050233872000X,0.0
11690101,39N060907248000D,3.08084706
11790301,39N050607494000V,0.0
11880101,39N110885864000H,0.0
11920101,39N050740233000M,0.0
12090101,39N110139685000N,0.0
12660101,39N060961591000S,0.0
12660201,39N061014839000T,20.65108812
12700101,39N110518798000I,0.0
12790101,39N1126472470000,58.86776
12960101,39N0505779810001,383.08993424
12990101,39N050236245000H,76.1805
13000101,39N050215987000Y,6.155744
13010101,39N050773882000F,0.0
13020101,39N050750873000L,0.0
13030101,39N0502191220008,0.0
13040101,39N050836830000K,8.401624
13050101,39N0502185960000,0.0
13060101,39N050757472000Z,6.460708800000001
13070101,39N050218709000P,0.0
13070102,39N050896796000I,0.0
13080101,39N050756996000D,0.0
13100101,39N0507730720003,0.0
13100201,39N050773615000J,0.0
13110101,39N050076850000F,1323.77946742
13110301,39N050757439000O,0.0
13120101,39N050215938000M,0.0
13130101,39N050890535000A,0.0
13140101,39N050831214000K,0.0
13150101,39N050836149000I,0.0
13160101,39N050215958000A,10.9783
13170101,39N050214941000M,0.0
13180101,39N0502109170005,0.0
13190101,39N050450493000U,0.0
13210102,39N050235781000N,0.0
13240101,39N050764763000U,0.9315771500000001
13250401,39N050776439000E,0.0
13260301,39N050773622000S,0.0
13270101,39N050214912000Z,0.0
13280101,39N050757450000K,609.839269
13290101,39N050218591000P,0.0
13300101,39N050216189000Z,0.0
13310101,39N050219127000K,0.0
13320101,39N050841968000N,0.0
13330201,39N050269363000V,0.0
13340101,39N0502177240009,361.96764035999996
13340201,39N050252043000I,34.67772428
13360101,39N050215996000X,0.0
13370101,39N0508759240008,0.0
13380101,39N0507679070008,3.5941439600000002
13380201,39N0504237770004,0.0
13380202,39N050814444000J,0.0
13410101,39N050754012000C,0.0
13420101,39N0502109620000,1.10732741
13420102,39N050224132000X,0.0
13430101,39N050757415000J,6.916644
13440201,39N0507599930004,0.0
13450201,39N050750365000F,3.2227569999999996
13450401,39N0507569640004,0.0
13460101,39N0508480240000,0.0
13470101,39N050219111000J,12.76784256
13480101,39N050757163000K,0.0
13490101,39N050252204000N,561.5187266500001
13500201,39N050218554000Y,0.0
13510101,39N050214668000X,0.0
13520101,39N050233268000E,0.0
13520201,39N050753876000J,37.16684706
13540101,39N050754015000Y,0.0
13550101,39N0508227020002,0.0
13560101,39N050776462000V,0.0
13570201,39N050218563000X,0.0
13570301,39N0502186000003,10.4490438
13580101,39N050760458000R,1.23072348
13590101,39N0502177250004,0.0
13600101,39N050847541000D,0.0
13610101,39N050896400000C,0.0
13620101,39N050861247000Y,1689.6
13670101,39N110540971000E,23.16279
13690101,39N111042284000S,267.13719
13830101,39N111186304000S,0.0
13870801,39N050879364000V,0.0
13870901,39N0508949570002,0.0
13880501,39N050034459000D,0.0
13900801,39N050882973000Z,52.10328837999999
13901401,39N050033836000K,48.45786622
13901501,39N050042294000Z,0.0
13901601,39N050813036000E,79.95148692
13901701,39N050774244000Q,9434.685704219999
13920901,39N050034412000Z,793.2161450599999
13921001,39N050132558000H,257.8181687
13970101,39N050089342000D,0.0
14000101,39N0505752100002,0.0
14040101,39N0613073350002,988.42732674
14140101,39N112757793000A,0.0
14210101,39N0611124530007,0.0
14520101,39N060959437000N,0.0
14560101,39N050445873000K,0.0
14570101,39N112579187000O,0.0
14900301,39N1126964350002,2.1059200000000002
15210101,39N050052498000T,0.0
15230101,39N050214697000K,0.0
15240101,39N050032468000S,24.229392
15430102,39N0507693140006,0.0
15880101,39N050771852000C,0.0
15930101,39N050073762000U,157.2934
15970101,39N112579746000B,0.0
15970201,39N060909668000V,13.35033726
16020101,39N110921284000C,0.0
16020201,39N110924510000T,0.0
16050101,39N1100768250006,2572.6884400000004
16070101,39N050844930000K,80.88863633999999
16080101,39N050775645000M,0.0
16090101,39N050898846000P,0.0
16100101,39N050053842000G,0.0
16170101,39N110659079000K,1838.881
16190101,39N110638863000Q,151.31562
16290101,39N1126409570001,0.0
16420101,39N050235722000H,561.3494768
16430101,39N112580940000G,0.0
16450101,39N0508813320003,0.0
16480101,39N050777482000B,0.0
16520101,39N0504864890005,1.0622808000000001
16530301,39N050820134000W,6.103247420000001
16560101,39N110072213000M,940.9104
16640101,39N050145410000I,449.39966083999997
16650101,39N061167618000I,0.0
16680101,39N050847787000J,14.8545741
16710101,39N0507742750003,0.0
16810101,39N112602933000G,0.0
16810201,39N110866794000G,191.83238000000003
16990101,39N050851794000U,0.0
17000101,39N0611137880009,530.0696254200001
17160101,39N1127040780004,0.0
17660101,39N061064322000N,0.0
17710101,39N050258835000L,2190.95289295
17720101,39N050106941000P,384.72300024000003
17750301,39N110043086000Z,262.98604000000006
18290101,39N050760709000V,17078.241149999998
18350101,39N110692024000L,0.0
18560501,39N061116064000T,2.05389804
18560601,39N060804167000A,91.7379588
18570201,39N061432774000W,31.858687260000004
18570301,39N060005969000G,0.0
18580101,39N0611165530005,0.0
18590103,39N0614301610000,131.03277228
18632301,39N1108100530002,0.0
18640101,39N1105310450002,703.8016
18640201,39N1105318830006,947.9327800000001
18680101,39N050225361000Z,2.73273164
18730101,39N060905244000C,0.0
18800101,39N112579352000G,0.0
18840101,39N050217344000P,20641.814508
18890101,39N050849323000D,3206.72075
18890201,39N0505387730002,159.61156634
18900101,39N0508490730004,3531.4244958400004
18920101,39N050636182000C,4.3159984
19020101,39N0507705100001,3.2596662000000007
19030101,39N060828512000O,418.182948
19030201,39N0600061150003,215.50065120000002
19070101,39N0500755940000,0.0
19150101,39N050603076000J,265.9329792
19170301,39N050415384000Y,0.0
19170401,39N0500617550009,0.32054370000000004
19170501,39N050764779000V,0.0
19170601,39N050762094000Z,0.0
19170701,39N050762038000E,0.0
19180101,39N112579338000Z,1119.9409038
19220101,39N050222615000B,0.0
19240101,39N050433181000O,0.0
19430101,39N050916593000Z,20801.775349999996
19430201,39N112773421000N,8182.819268000001
19430301,39N112774392000C,16643.1189816
19520101,39N050515515000A,0.0
19530101,39N061128059000M,0.0
19530201,39N060959331000N,0.0
19530301,39N050225228000V,0.0
19530401,39N0504648650006,0.0
19810101,39N060796913000S,505.05585479999996
19810401,39N060813408000J,3.0364270199999996
19810501,39N061030420000B,61.49637252
19810701,39N060972518000O,196.61687417000002
19810901,39N110674803000L,158.96736
19811201,39N112579318000A,703.4199715000001
19890101,39N110485880000S,1619.66805
19900101,39N050377940000D,608.18663618
19930101,39N110211018000G,1144.1770199999999
19940101,39N110961292000H,1458.6619200000002
19950101,39N050673657000W,1287.04358025
20010101,39N050548840000J,2914.1946000000003
20020101,39N111007381000W,913.9046999999999
20030101,39N111224004000Z,74.77892
20040101,39N050708788000F,1412.63106945
20050101,39N0506488920006,3023.49557068
20060101,39N050094490000H,1459.18479278
20080101,39N050816644000Q,1193.1236352
20100101,39N112580820000Z,1485.9289700000002
20120201,39N111185931000S,555.2870399999999
20140101,39N110144607000I,1683.5085000000001
20150101,39N110829152000U,1387.27654
